iter	Passed	Remaining
399	61584	15396
400	61726	15239
401	61882	15085
402	62023	14928
403	62148	14767
404	62286	14610
405	62445	14457
406	62712	14329
407	62831	14167
408	63000	14017
409	63136	13859
410	63244	13695
411	63377	13536
412	63533	13383
413	63671	13226
414	63836	13074
415	63972	12917
416	64162	12770
417	64402	12633
418	64636	12495
419	64910	12363
420	65370	12266
421	65642	12133
422	65983	12011
423	66688	11953
424	66930	11811
425	67071	11650
426	67192	11487
427	67444	11345
428	67724	11208
429	68067	11080
430	68353	10942
431	68580	10795
432	68823	10649
433	69144	10515
434	69365	10365
435	69473	10197
436	69595	10033
437	69728	9870
438	69870	9708
439	70235	9577
440	70562	9440
441	70785	9288
442	70935	9127
443	71054	8961
444	71177	8797
445	71442	8650
446	71755	8507
447	72031	8360
448	72179	8198
449	72315	8035
450	72467	7873
451	72593	7709
452	72707	7543
453	72827	7379
454	72942	7214
455	73096	7053
456	73229	6890
457	73496	6739
458	73836	6595
459	73980	6433
460	74129	6271
461	74262	6108
462	74399	5945
463	74515	5781
464	74646	5618
465	74813	5458
466	74947	5296
467	75076	5133
468	75212	4971
469	75498	4819
470	75784	4666
471	75961	4506
472	76085	4343
473	76223	4181
474	76347	4018
475	76463	3855
476	76576	3692
477	76719	3531
478	76864	3369
479	77024	3209
480	77136	3046
481	77286	2886
482	77483	2727
483	77613	2565
484	77735	2404
485	77852	2242
486	77992	2081
487	78116	1920
488	78239	1759
489	78397	1599
490	78541	1439
491	78710	1279
492	79021	1122
493	79171	961
494	79304	801
495	79455	640
496	79586	480
497	79748	320
498	79900	160
499	80064	0
