iter	Logloss
185	0.241226709
186	0.2411801249
187	0.2411253008
188	0.2411174976
189	0.2410668727
190	0.2410271504
191	0.2409801564
192	0.2409263191
193	0.2408930968
194	0.2408489996
195	0.2408109422
196	0.2407685113
197	0.2407428021
198	0.2407114315
199	0.2406563286
200	0.2406191915
201	0.240567343
202	0.2405335881
203	0.2405062264
204	0.240479151
205	0.2404263539
206	0.2403828235
207	0.2403448138
208	0.2403384898
209	0.2403115485
210	0.240263338
211	0.2402331183
212	0.2401614079
213	0.2401249268
214	0.2400943481
215	0.240064904
216	0.2400183839
217	0.2399879519
218	0.2399499094
219	0.2399223551
220	0.2398911413
221	0.2398331709
222	0.2397852151
223	0.2397533242
224	0.2397128068
225	0.2396777703
226	0.2396534754
227	0.2396046894
228	0.2395535078
229	0.2395356602
230	0.2395087089
231	0.2394841268
232	0.2394388786
233	0.239418727
234	0.2394047401
235	0.2394011393
236	0.2393665822
237	0.2393376927
238	0.2393091327
239	0.2392857281
240	0.2392462673
241	0.2392055845
242	0.2391760621
243	0.2391476265
244	0.2391215794
245	0.2390888471
246	0.239041232
247	0.238998968
248	0.2389749217
249	0.238942494
250	0.238903301
251	0.238887621
252	0.2388542631
253	0.2388115415
254	0.2387698333
255	0.2387690788
256	0.2387402625
257	0.2387070072
258	0.238678179
259	0.2386279923
260	0.2385752659
261	0.2385413059
262	0.2385160399
263	0.2384610784
264	0.2384332431
265	0.238407235
266	0.2383762313
267	0.2383232632
268	0.2382994064
269	0.2382526646
270	0.2382144639
271	0.2381930937
272	0.2381627386
273	0.2381452015
274	0.2381209356
275	0.2380768935
276	0.2380481522
277	0.2380119977
278	0.2379943162
279	0.2379659287
280	0.2379191403
281	0.237893765
282	0.2378682358
283	0.2378450303
284	0.2378066211
285	0.2377757163
286	0.2377394703
287	0.2377014748
288	0.2376666282
289	0.2376316466
290	0.237616361
291	0.2375839373
292	0.2375336225
293	0.237501407
294	0.2374750484
295	0.237430923
296	0.2373974468
297	0.2373592863
298	0.2373211071
299	0.2372946578
300	0.2372656962
301	0.2372425747
302	0.237216031
303	0.2371748504
304	0.2371403295
305	0.2371110566
306	0.2370863498
307	0.2370443618
308	0.2370018087
309	0.2369779539
310	0.2369363288
311	0.2368992099
312	0.2368540454
313	0.2368279139
314	0.236796159
315	0.2367523679
316	0.2367077766
317	0.2366887502
318	0.2366609295
319	0.2366400526
320	0.2365962587
321	0.2365420331
322	0.2365045513
323	0.2364649393
324	0.2363967629
325	0.2363618835
326	0.2363177789
327	0.2362808758
328	0.2362421065
329	0.236185263
330	0.2361380155
331	0.2360977298
332	0.2360616347
333	0.2360528069
334	0.2360214447
335	0.2359875966
336	0.2359575223
337	0.2359328437
338	0.2358949641
339	0.2358717651
340	0.235842048
341	0.2358168896
342	0.235783206
343	0.2357526843
344	0.2357101266
345	0.2356654162
346	0.2356098802
347	0.2355747202
348	0.2355447481
349	0.2355099574
350	0.2354835552
351	0.2354547377
352	0.2354061815
353	0.2353804722
354	0.23534254
355	0.2352979199
356	0.2352445826
357	0.2351992409
358	0.2351531485
359	0.2351222428
360	0.2350871521
361	0.2350481093
362	0.2350019443
363	0.2349540127
364	0.2349212116
365	0.2349014278
366	0.2348415141
367	0.2347915888
368	0.2347518231
369	0.2347315436
370	0.2347001022
371	0.2346534432
372	0.2346090985
373	0.2345797128
374	0.2345424505
375	0.2345230971
376	0.2344930468
377	0.2344579392
378	0.2344185768
379	0.234385657
380	0.2343487041
381	0.2343009816
382	0.2342715589
383	0.234245472
384	0.2342078065
385	0.2341835604
386	0.2341576688
387	0.2341275284
388	0.2341061978
389	0.2340662012
390	0.2340422563
391	0.234012194
392	0.2339845267
393	0.2339360076
394	0.2339041006
395	0.2338737209
396	0.2338476007
397	0.2338133558
398	0.2337793334
399	0.2337437906
400	0.2337158938
401	0.2336817004
402	0.2336584602
403	0.2336263157
404	0.2336049851
405	0.233575242
406	0.233532636
407	0.233517916
408	0.2334922153
409	0.2334632449
410	0.2334403566
411	0.2334271432
412	0.2333821075
413	0.2333556811
414	0.2333170583
415	0.2332909538
416	0.233265438
417	0.2332276483
418	0.2331922109
419	0.2331581358
420	0.2331196514
421	0.2330858452
422	0.2330505063
423	0.2330057933
424	0.2329747058
425	0.2329339859
426	0.2328987901
427	0.2328773955
428	0.2328400305
429	0.2328099005
430	0.2327972001
431	0.2327727475
432	0.2327392838
433	0.2327174917
434	0.2326731003
435	0.2326576144
436	0.2326234826
437	0.2325842091
438	0.2325450462
439	0.2325059448
440	0.232489781
441	0.2324645798
442	0.2324368367
443	0.2324094482
444	0.2323860518
445	0.2323485865
446	0.2323298362
447	0.2323156804
448	0.2322825582
449	0.2322513434
450	0.2322185587
451	0.2321742792
452	0.232154693
453	0.2321270803
454	0.2320936197
455	0.232053265
456	0.2320279145
457	0.2320006577
458	0.2319577513
459	0.2319163173
460	0.231881036
461	0.2318515914
462	0.2318173074
463	0.2317946818
464	0.231764486
465	0.2317162128
466	0.2317056448
467	0.2316757049
468	0.2316274612
469	0.2315965813
470	0.2315686119
471	0.2315368405
472	0.2315210708
473	0.2314726658
474	0.2314508351
475	0.2314301163
476	0.2313986382
477	0.2313579342
478	0.2313276873
479	0.2313077461
480	0.2312853605
481	0.2312489496
482	0.2312158401
483	0.2311966628
484	0.2311804528
485	0.2311638
486	0.2311275154
487	0.2311048927
488	0.2310936895
489	0.2310638501
490	0.2310193616
491	0.2309981432
492	0.2309737548
493	0.2309315
494	0.2309178359
495	0.2308851891
496	0.2308739474
497	0.2308326155
498	0.2308165304
499	0.2307751863
