iter	Logloss
0	0.5939663144
1	0.5172859425
2	0.4593119985
3	0.4130990293
4	0.379871803
5	0.3550292755
6	0.3347578978
7	0.3179232254
8	0.3053727581
9	0.2955679342
10	0.287575643
11	0.280763614
12	0.2759648573
13	0.2720945448
14	0.2692733514
15	0.2661642684
16	0.2638086582
17	0.2620624635
18	0.2604870565
19	0.2592034444
20	0.2579511389
21	0.2571589448
22	0.2562974609
23	0.2553251106
24	0.2547471409
25	0.2542547237
26	0.2538742672
27	0.2532807282
28	0.252869956
29	0.252459154
30	0.2521293201
31	0.2517679222
32	0.2515289262
33	0.2512195635
34	0.2510053385
35	0.2507806996
36	0.2506031032
37	0.2504518275
38	0.250294839
39	0.2500912392
40	0.2498535428
41	0.2496981871
42	0.2496090535
43	0.2493729108
44	0.2492528579
45	0.2491188587
46	0.24895986
47	0.2488574928
48	0.2486989687
49	0.2485934771
50	0.2484802648
51	0.2483208774
52	0.2481917578
53	0.2480806183
54	0.2479858187
55	0.2479265186
56	0.2478302734
57	0.2477734088
58	0.2477147695
59	0.247632176
60	0.2475601391
61	0.2474415666
62	0.2473768436
63	0.2473205158
64	0.2473032373
65	0.2472275104
66	0.2471215805
67	0.2470520796
68	0.246971452
69	0.2468954224
70	0.2468117911
71	0.2467532437
72	0.2467081282
73	0.246656042
74	0.2466079567
75	0.2465581556
76	0.2464843839
77	0.2464208349
78	0.2463622844
79	0.2463333086
80	0.246298307
81	0.2462764737
82	0.2462082929
83	0.2461679652
84	0.2460991539
85	0.2460159028
86	0.2459443813
87	0.24587476
88	0.2458354835
89	0.245802199
90	0.2457534988
91	0.2457004158
92	0.2456028857
93	0.2455593319
94	0.245463141
95	0.2454207257
96	0.2453802951
97	0.245335521
98	0.2453079335
99	0.2452573223
100	0.2452292135
101	0.2451836915
102	0.2451529905
103	0.2451153488
104	0.2450688659
105	0.2450019405
106	0.244927238
107	0.2448952051
108	0.244860286
109	0.2448074043
110	0.2447515068
111	0.2446768907
112	0.244633407
113	0.2445875463
114	0.2445226861
115	0.2444862511
116	0.2444552491
117	0.2444038795
118	0.2443631015
119	0.2443207507
120	0.2442720507
121	0.2442380632
122	0.2441943359
123	0.2441467564
124	0.2441028471
125	0.2440659325
126	0.2440348884
127	0.2440056031
128	0.2439257849
129	0.2438689002
130	0.2438072844
131	0.2437618127
132	0.2437193652
133	0.2436471501
134	0.243602459
135	0.243535472
136	0.2434758328
137	0.2433972747
138	0.24335255
139	0.2432993703
140	0.2432447394
141	0.2431865524
142	0.2431533918
143	0.243096008
144	0.2430483346
145	0.2430152647
146	0.2429824905
147	0.2429150858
148	0.2428682775
149	0.2428327322
150	0.242778616
151	0.2427296563
152	0.2426863185
153	0.242632034
154	0.2425690109
155	0.2425329485
156	0.2424720056
157	0.2424203985
158	0.2423750342
159	0.2423406332
160	0.2422958768
161	0.2422651396
162	0.2422124887
163	0.2422116943
164	0.2421512352
165	0.2421272356
166	0.2420771404
167	0.2420189174
168	0.2419653833
169	0.2419065499
170	0.2418653961
171	0.2418205323
172	0.24178364
173	0.2417565272
174	0.2417245244
175	0.2416680508
176	0.2416245961
177	0.2415731397
178	0.2415319022
179	0.2414755803
180	0.2414286358
181	0.2413825628
182	0.2413267825
183	0.2412791939
184	0.2412529635
